Model,Country,Age,Sex,Date,Forecast,R^2,MSE,RMSE,MAPE
SARIMA,France,15-24,Male,2026-01-01,0.16080027310626277,0.8492582115419838,1.6313103968610168e-05,0.004038948374095684,0.01555885449026996
SARIMA,France,15-24,Male,2026-02-01,0.16068444506925864,0.8492582115419838,1.6313103968610168e-05,0.004038948374095684,0.01555885449026996
SARIMA,France,15-24,Male,2026-03-01,0.15974559962364457,0.8492582115419838,1.6313103968610168e-05,0.004038948374095684,0.01555885449026996
SARIMA,France,15-24,Male,2026-04-01,0.16043170430536965,0.8492582115419838,1.6313103968610168e-05,0.004038948374095684,0.01555885449026996
SARIMA,France,15-24,Male,2026-05-01,0.15873647517793027,0.8492582115419838,1.6313103968610168e-05,0.004038948374095684,0.01555885449026996
SARIMA,France,15-24,Male,2026-06-01,0.15898634049260657,0.8492582115419838,1.6313103968610168e-05,0.004038948374095684,0.01555885449026996
SARIMA,France,15-24,Male,2026-07-01,0.15962092031482292,0.8492582115419838,1.6313103968610168e-05,0.004038948374095684,0.01555885449026996
SARIMA,France,15-24,Male,2026-08-01,0.15987739701339335,0.8492582115419838,1.6313103968610168e-05,0.004038948374095684,0.01555885449026996
SARIMA,France,15-24,Male,2026-09-01,0.1587118790751472,0.8492582115419838,1.6313103968610168e-05,0.004038948374095684,0.01555885449026996
SARIMA,France,15-24,Male,2026-10-01,0.15656048754416552,0.8492582115419838,1.6313103968610168e-05,0.004038948374095684,0.01555885449026996
SARIMA,France,15-24,Male,2026-11-01,0.15507079202985474,0.8492582115419838,1.6313103968610168e-05,0.004038948374095684,0.01555885449026996
SARIMA,France,15-24,Male,2026-12-01,0.15487290412168964,0.8492582115419838,1.6313103968610168e-05,0.004038948374095684,0.01555885449026996
SARIMA,France,15-24,Female,2026-01-01,0.1838535301988896,0.9313375070510501,1.305102442957517e-05,0.0036126201612645594,0.014815596736853362
SARIMA,France,15-24,Female,2026-02-01,0.18379151209791308,0.9313375070510501,1.305102442957517e-05,0.0036126201612645594,0.014815596736853362
SARIMA,France,15-24,Female,2026-03-01,0.18364429192751494,0.9313375070510501,1.305102442957517e-05,0.0036126201612645594,0.014815596736853362
SARIMA,France,15-24,Female,2026-04-01,0.18461876245764694,0.9313375070510501,1.305102442957517e-05,0.0036126201612645594,0.014815596736853362
SARIMA,France,15-24,Female,2026-05-01,0.1830787329242529,0.9313375070510501,1.305102442957517e-05,0.0036126201612645594,0.014815596736853362
SARIMA,France,15-24,Female,2026-06-01,0.18306287375773767,0.9313375070510501,1.305102442957517e-05,0.0036126201612645594,0.014815596736853362
SARIMA,France,15-24,Female,2026-07-01,0.18343451168130795,0.9313375070510501,1.305102442957517e-05,0.0036126201612645594,0.014815596736853362
SARIMA,France,15-24,Female,2026-08-01,0.18328026481714763,0.9313375070510501,1.305102442957517e-05,0.0036126201612645594,0.014815596736853362
SARIMA,France,15-24,Female,2026-09-01,0.1815247151050852,0.9313375070510501,1.305102442957517e-05,0.0036126201612645594,0.014815596736853362
SARIMA,France,15-24,Female,2026-10-01,0.18007772814185027,0.9313375070510501,1.305102442957517e-05,0.0036126201612645594,0.014815596736853362
SARIMA,France,15-24,Female,2026-11-01,0.17891919494530287,0.9313375070510501,1.305102442957517e-05,0.0036126201612645594,0.014815596736853362
SARIMA,France,15-24,Female,2026-12-01,0.17897741129938238,0.9313375070510501,1.305102442957517e-05,0.0036126201612645594,0.014815596736853362
SARIMA,France,15-24,Total,2026-01-01,0.167873712212792,0.5343106791720804,8.604869105505004e-06,0.0029334057178482835,0.011835656740347394
SARIMA,France,15-24,Total,2026-02-01,0.16758505376159186,0.5343106791720804,8.604869105505004e-06,0.0029334057178482835,0.011835656740347394
SARIMA,France,15-24,Total,2026-03-01,0.1672167507401039,0.5343106791720804,8.604869105505004e-06,0.0029334057178482835,0.011835656740347394
SARIMA,France,15-24,Total,2026-04-01,0.16809120725149135,0.5343106791720804,8.604869105505004e-06,0.0029334057178482835,0.011835656740347394
SARIMA,France,15-24,Total,2026-05-01,0.16655668590823325,0.5343106791720804,8.604869105505004e-06,0.0029334057178482835,0.011835656740347394
SARIMA,France,15-24,Total,2026-06-01,0.1665520619089264,0.5343106791720804,8.604869105505004e-06,0.0029334057178482835,0.011835656740347394
SARIMA,France,15-24,Total,2026-07-01,0.16690393146238602,0.5343106791720804,8.604869105505004e-06,0.0029334057178482835,0.011835656740347394
SARIMA,France,15-24,Total,2026-08-01,0.16669769867857503,0.5343106791720804,8.604869105505004e-06,0.0029334057178482835,0.011835656740347394
SARIMA,France,15-24,Total,2026-09-01,0.16530372344328528,0.5343106791720804,8.604869105505004e-06,0.0029334057178482835,0.011835656740347394
SARIMA,France,15-24,Total,2026-10-01,0.16314722872465381,0.5343106791720804,8.604869105505004e-06,0.0029334057178482835,0.011835656740347394
SARIMA,France,15-24,Total,2026-11-01,0.16171268501229183,0.5343106791720804,8.604869105505004e-06,0.0029334057178482835,0.011835656740347394
SARIMA,France,15-24,Total,2026-12-01,0.1615994534678789,0.5343106791720804,8.604869105505004e-06,0.0029334057178482835,0.011835656740347394
SARIMA,France,25+,Male,2026-01-01,0.060628951713594115,0.1753198147284747,1.2927954134755354e-06,0.0011370116153652677,0.013167315441679104
SARIMA,France,25+,Male,2026-02-01,0.06008195145096188,0.1753198147284747,1.2927954134755354e-06,0.0011370116153652677,0.013167315441679104
SARIMA,France,25+,Male,2026-03-01,0.06021774926245296,0.1753198147284747,1.2927954134755354e-06,0.0011370116153652677,0.013167315441679104
