Country,Sex,Age,age_categories,Continent,Year,UnemploymentRate
Belize,Total,15-24,Youth,North America,2014,0.24390931800478122
Benin,Female,25+,Adults,Africa,2014,0.016774557468640042
Benin,Male,15-24,Youth,Africa,2014,0.05252625641301136
Benin,Male,25+,Adults,Africa,2014,0.014249644094657392
Benin,Female,15-24,Youth,Africa,2014,0.06419726557253755
Benin,Total,25+,Adults,Africa,2014,0.0326448019912792
Benin,Total,15-24,Youth,Africa,2014,0.0326448019912792
Bhutan,Male,15-24,Youth,Asia,2014,0.11053211206317656
Bhutan,Female,15-24,Youth,Asia,2014,0.13160439442370198
Bhutan,Total,15-24,Youth,Asia,2014,0.12574874425850815
Bhutan,Total,25+,Adults,Asia,2014,0.023409170270488062
Bhutan,Male,25+,Adults,Asia,2014,0.0160224556125601
Bhutan,Female,25+,Adults,Asia,2014,0.032823873861774426
Bolivia,Total,15-24,Youth,South America,2014,0.06352574605818045
Bolivia,Total,25+,Adults,South America,2014,0.01778183674017567
Bolivia,Male,15-24,Youth,South America,2014,0.039780816030513845
Bolivia,Female,15-24,Youth,South America,2014,0.0926562625909909
Bolivia,Female,25+,Adults,South America,2014,0.024120980955706573
Bolivia,Male,25+,Adults,South America,2014,0.011899325794407585
Bosnia and Herzegovina,Total,25+,Adults,Europe,2014,0.3148217787208896
Bosnia and Herzegovina,Total,15-24,Youth,Europe,2014,0.8411722044642618
Bosnia and Herzegovina,Female,15-24,Youth,Europe,2014,0.8825512369389454
Bosnia and Herzegovina,Female,25+,Adults,Europe,2014,0.368959681968358
Bosnia and Herzegovina,Male,15-24,Youth,Europe,2014,0.8301458540385184
Bosnia and Herzegovina,Male,25+,Adults,Europe,2014,0.2851137554057321
Botswana,Female,15-24,Youth,Africa,2014,0.5205350667490397
Botswana,Female,25+,Adults,Africa,2014,0.23532729861129764
Botswana,Male,15-24,Youth,Africa,2014,0.4200220258400709
Botswana,Male,25+,Adults,Africa,2014,0.16573101614332914
Botswana,Total,15-24,Youth,Africa,2014,0.30666057822306986
Botswana,Total,25+,Adults,Africa,2014,0.30666057822306986
Brazil,Total,15-24,Youth,South America,2014,0.20653254183566574
Brazil,Total,25+,Adults,South America,2014,0.06290794810497194
Brazil,Male,15-24,Youth,South America,2014,0.17365494641274276
Brazil,Female,15-24,Youth,South America,2014,0.25321657847377044
Brazil,Female,25+,Adults,South America,2014,0.07840661849633351
Brazil,Male,25+,Adults,South America,2014,0.05182787611807999
Brunei,Total,15-24,Youth,Asia,2014,0.3390636331891805
Brunei,Female,25+,Adults,Asia,2014,0.06208869429745629
Brunei,Male,15-24,Youth,Asia,2014,0.3091138628488544
Brunei,Male,25+,Adults,Asia,2014,0.045166402535657686
Brunei,Total,25+,Adults,Asia,2014,0.05409761207660694
Brunei,Female,15-24,Youth,Asia,2014,0.3509360982030138
Bulgaria,Male,25+,Adults,Europe,2014,0.15424803244782295
Bulgaria,Total,15-24,Youth,Europe,2014,0.3189449085390421
Bulgaria,Total,25+,Adults,Europe,2014,0.14256359289800963
Bulgaria,Female,15-24,Youth,Europe,2014,0.31864943995272504
Bulgaria,Female,25+,Adults,Europe,2014,0.129710709393215
Bulgaria,Male,15-24,Youth,Europe,2014,0.31961642805339924
Burkina Faso,Male,25+,Adults,Africa,2014,0.04112385505922802
Burkina Faso,Female,25+,Adults,Africa,2014,0.044548604582449164
Burkina Faso,Male,15-24,Youth,Africa,2014,0.08925837384834404
Burkina Faso,Total,25+,Adults,Africa,2014,0.07594885707378658
Burkina Faso,Total,15-24,Youth,Africa,2014,0.11644148378951892
Burkina Faso,Female,15-24,Youth,Africa,2014,0.09992210373633457
Burundi,Total,15-24,Youth,Africa,2014,0.03905557495500819
Burundi,Total,25+,Adults,Africa,2014,0.01532407531762873
Burundi,Male,15-24,Youth,Africa,2014,0.055588385398479684
Burundi,Male,25+,Adults,Africa,2014,0.018909989524295578
Burundi,Female,15-24,Youth,Africa,2014,0.02539686803298504
Burundi,Female,25+,Adults,Africa,2014,0.011805313062397594
Cabo Verde,Male,25+,Adults,Africa,2014,0.10612694404899407
Cabo Verde,Male,15-24,Youth,Africa,2014,0.334846490639018
Cabo Verde,Female,25+,Adults,Africa,2014,0.10725509683311397
Cabo Verde,Female,15-24,Youth,Africa,2014,0.3806038303473099
Cabo Verde,Total,15-24,Youth,Africa,2014,0.2073316500577507
Cabo Verde,Total,25+,Adults,Africa,2014,0.2073316500577507
Cambodia,Male,25+,Adults,Asia,2014,0.0071449676327594094
Cambodia,Male,15-24,Youth,Asia,2014,0.01485401165757877
Cambodia,Female,25+,Adults,Asia,2014,0.007373284267640817
Cambodia,Total,15-24,Youth,Asia,2014,0.013672137312310295
Cambodia,Total,25+,Adults,Asia,2014,0.007064385291036559
Cambodia,Female,15-24,Youth,Asia,2014,0.013188643261973191
Cameroon,Male,25+,Adults,Africa,2014,0.029546858631711838
Cameroon,Male,15-24,Youth,Africa,2014,0.07629804722125226
Cameroon,Female,25+,Adults,Africa,2014,0.043030970480002144
Cameroon,Female,15-24,Youth,Africa,2014,0.08999704531413684
Cameroon,Total,15-24,Youth,Africa,2014,0.08406081280722018
Cameroon,Total,25+,Adults,Africa,2014,0.03655752236159983
Canada,Total,15-24,Youth,North America,2014,0.17705283515538964
Canada,Total,25+,Adults,North America,2014,0.07917215074270059
Canada,Female,15-24,Youth,North America,2014,0.15401971581294152
Canada,Female,25+,Adults,North America,2014,0.07472669155765667
Canada,Male,15-24,Youth,North America,2014,0.1997636251309463
Canada,Male,25+,Adults,North America,2014,0.0833892932928631
Central African Republic,Male,15-24,Youth,Africa,2014,0.12709178328722234
Central African Republic,Male,25+,Adults,Africa,2014,0.04538128878025195
Central African Republic,Female,25+,Adults,Africa,2014,0.060611351365870696
Central African Republic,Female,15-24,Youth,Africa,2014,0.15485240001074432
Chad,Male,15-24,Youth,Africa,2014,0.02577291896102501
